progname,Hours
r,178376700
pymol,103169032
pytom,64571126
pymol,56924963
rosetta,47876749
nedit,46056347
xdsgui,45421783
pytom,42821808
ccp4,41641210
ccp4,41145573
ccp4,39370955
chimera,37468851
ccp4,37091990
r,34113889
r,32671607
nedit,32652994
ccp4,32493063
ccp4,31817782
rosetta,30230021
coot,30168147
nedit,29723800
ccp4,29480011
ccp4,28821604
ccp4,28757690
nedit,28572857
ccp4,27064395
ccp4,26986408
grace,26441322
ccp4,26244568
ccp4,26200314
chimera,25545396
phenix,25010824
phenix,24593113
ccp4,24576731
coot,24503341
ccp4,24057317
ccp4,23680417
ccp4,23659046
ccp4,23327971
o,23305275
ccp4,23210687
chimera,22894951
ccp4,22743828
ccp4,22520295
ccp4,22142634
pymol,21512668
ccp4,21499167
chimera,21447879
perl,20955336
ccp4,20761145
relion,20603618
hkl,20556273
xdsgui,20329249
ccp4,20318294
chimera,20122478
haddock,19885131
phenix,19805421
chimera,19679288
ccp4,19571881
schrodinger,19531287
ccp4,19458508
ccp4,19404262
ccp4,19395417
ccp4,19369037
pymol,19289079
ccp4,19202607
ccp4,19200173
relion,19039549
nmrpipe,19011030
ccp4,18925285
ccp4,18678170
ccp4,18649535
ccpem,18178347
chimera,18173960
phenix,18159407
rosetta,17967040
ccp4,17743338
hkl,17640152
pymol,17396441
ccp4,17353149
coot,17279334
chimera,17254424
chimera,17243134
ccp4,17163484
phenix,17162551
ccp4,16992418
ccp4,16905889
ccp4,16789789
nedit,16540396
ccp4,16386378
htslib,16376392
schrodinger,16273829
ccp4,16237434
ccp4,16050209
vcftools,16037666
ccp4,16032918
relion,16007182
xdsgui,16005997
peet,15979817
ccp4,15974121
ccp4,15972427
chimera,15772362
ccp4,15730374
java,15605860
o,15558747
phenix,15492933
java,15474334
ccp4,15422966
phenix,15397531
phenix,15260856
ccp4,15235369
ccp4,15105395
chimera,15102085
chimera,15102085
o,15075012
phenix,14997670
ccp4,14947840
chimera,14916366
ccp4,14851952
phenix,14826286
ccp4,14808243
chimera,14778840
phenix,14734019
ccp4,14730693
ccp4,14692455
pymol,14661799
java,14647576
relion,14633877
ccp4,14517864
rosetta,14480294
chimera,14407591
chimera,14357990
pymol,14329617
ccp4,14267029
phenix,14257825
ccp4,14166163
phenix,14130373
eman2,14100185
ccp4,14061803
chimera,14031981
gromacs,14023474
ccp4,14003331
ccp4,14003331
coot,13942560
ccp4,13926946
chimera,13848235
python,13843009
python,13838063
ccp4,13808046
phenix,13786876
ccp4,13713298
ccp4,13690642
chimerax,13646624
relion,13600297
phenix,13595320
ccp4,13582105
ccp4,13426762
ccp4,13319412
chimera,13315517
ccp4,13260674
coot,13233431
phenix,13200389
ccp4,13143222
nedit,13134384
phenix,13126936
chimera,13062344
ccp4,13059128
ccp4,12942661
ccp4,12913240
ccp4,12868097
ccp4,12839627
ccp4,12801350
ccp4,12728365
ccp4,12723441
schrodinger,12705086
pymol,12698136
phenix,12663908
ccp4,12619009
phenix,12615652
pymol,12556516
coot,12528553
nmrview,12506391
java,12485323
samtools,12439699
phenix,12398907
ccp4,12366682
rosetta,12358447
ccp4,12355512
java,12341120
ccp4,12330852
ccp4,12293821
coot,12287920
coot,12286878
ccp4,12285198
ccp4,12255745
ccp4,12204326
phenix,12169154
ccp4,12144037
chimera,12123772
phenix,12119483
coot,12118947
samtools,12099306
ccp4,12084105
phenix,11927482
phenix,11903715
ccp4,11851785
chimera,11845956
chimera,11835105
phenix,11830630
pymol,11812991
ccp4,11810819
phenix,11807074
chimera,11802476
phenix,11767533
rosetta,11748224
coot,11731650
phenix,11668507
phenix,11664460
ccp4,11648319
phenix,11617821
ccp4,11617735
chimera,11597237
pymol,11591592
phenix,11505449
phenix,11501417
relion,11487065
chimera,11456759
ccp4,11455284
ccp4,11449759
chimera,11447786
ccp4,11432164
chimera,11417367
coot,11397378
ccp4,11388439
ccp4,11318227
ccp4,11305539
ccp4,11286213
chimerax,11277439
hkl,11245347
ccp4,11242628
phenix,11235861
phenix,11211632
chimera,11209202
chimera,11187059
ccp4,11175855
ccp4,11166347
coot,11161180
ccp4,11150366
pymol,11148681
rosetta,11112320
hkl,11081431
r,11076533
chimera,11059570
ccp4,11025130
phenix,10968886
phenix,10925651
chimera,10911082
phenix,10909006
ccp4,10906970
java,10856006
chimera,10825970
phenix,10803019
ccp4,10787167
ccp4,10784209
chimera,10780035
